VH,VH_Times_VH,VH_VV_Ratio,VV,VV_Plus_VH,VV_Times_VH,VV_Times_VV,VV_VH_Ratio,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,DI,EVI,MNDWI,NDBI,NDTI,NDVI,State,wClass
-19.07519758379344,363.9485528589013,0.6064868622664902,-11.586062917386512,-30.661260501179942,221.38643870907956,135.92791263053073,1.6645299057454097,4288,3495,1262,1674,2260,2397,2689,2881,3000,3215,0.17010516,0.2607102593010146,-0.43844348,0.17672887,-0.3522925,0.14068441,KA,nonWater
-12.708249254334334,162.7293938817045,0.5784172263939744,-7.263652334526906,-19.971901588861243,92.10628433030186,53.3923161832834,1.7746627114500082,2583,1725,498,717,921,1218,1513,1680,1832,2030,0.28773516,0.6284492273730684,-0.56545454,0.17010193,-0.4127764,0.33091173,KA,nonWater
-19.69286964157761,388.99364696036974,0.5195536236422592,-10.194666674334234,-29.88753631591184,200.64053325360703,103.96961074425884,1.933569027999104,3679,3029,679,1078,1824,1851,2241,2478,2563,2640,0.20630012,0.2195353811419405,-0.5467732,0.17878886,-0.4750426,0.16845225,KA,nonWater
-13.427919652509656,180.69923742639864,0.4976187529284795,-6.714178602987909,-20.142098255497565,90.78392529722656,46.08598360437418,2.031359839948254,3409,2881,956,1240,1730,2048,2167,2309,2448,2535,0.17398277,0.3171938505036225,-0.46655196,0.16407718,-0.39820433,0.17185256,KA,nonWater
-16.29752321996696,266.6986321130876,0.6747018766794317,-11.0250833703426,-27.32260659030956,180.91371173735143,126.56037584283963,1.5326681502330903,3621,2469,731,1050,1270,1787,2504,2901,2888,3273,0.29816514,0.8047349050034815,-0.5504175,0.112613305,-0.40323955,0.3891294,KA,nonWater
-20.54244356982581,421.9919878194778,0.4699702665078668,-9.65433767923385,-30.19678124905966,198.32368697970443,93.20623602467444,2.1277941845779758,1985,1762,860,1098,1338,1585,1626,1711,1550,1708,0.10555121,0.1693831895174177,-0.2877068,0.12305516,-0.23216783,0.0734072,KA,nonWater
-29.403347609707943,907.9753502436268,0.4113582033826145,-11.72306515705034,-41.126412766758285,350.0932061519613,138.4581582766596,2.4866900922928905,4249,3341,883,1388,2306,2649,2834,2989,3062,3226,0.21445183,0.1839147569697854,-0.50753945,0.16235809,-0.41298372,0.14083457,KA,nonWater
-16.452804796955654,270.69478568674214,0.5701476752728513,-9.380528472841078,-25.83333326979673,154.33600494411616,88.07234851700491,1.755488314182565,1234,797,499,651,551,867,1126,1397,755,1355,0.15740472,1.596244131455399,-0.30928382,0.24082454,-0.10082873,0.15620214,KA,nonWater
-13.921028687676475,194.32910358964196,0.4746126863579868,-6.623429389409763,-20.54445807708624,92.70848501725769,46.1806135404495,2.2229016983970364,3192,2547,790,1098,1290,1877,2517,2807,2674,2988,0.23351908,0.7706013363028953,-0.48811188,0.08830549,-0.39753085,0.34914228,KA,nonWater
-26.138278759127505,683.209616489856,0.4672973454448922,-12.214348278638894,-38.3526270377664,319.26204016813256,149.19030387188891,2.1399650773704826,2339,2051,844,1120,1470,1769,1813,1964,1858,2028,0.13925081,0.2230397792595999,-0.35241398,0.11460567,-0.29359823,0.116586536,KA,nonWater
-19.590051158958776,390.8757122973221,0.7117826915313052,-13.758606834853245,-33.34865799381201,270.7883766612984,190.2079409247621,1.4245378097117796,4628,3878,736,1234,2054,2343,2659,2856,3128,3099,0.20547093,0.2703110842645726,-0.5789833,0.19339865,-0.5172144,0.20725589,KA,nonWater
-18.56138813145816,351.3549767394595,0.5020760514344136,-9.090405941840144,-27.651794073298305,167.91239214653277,82.73348927586444,2.0542029155227604,3458,2447,879,1216,1650,2193,2437,2710,2676,2993,0.25222006,0.4286072353580081,-0.4796748,0.12748614,-0.33606333,0.23717059,KA,nonWater
-19.1785748794298,371.9603443519516,0.701418902922861,-13.316967841354913,-32.49554272078471,255.7123230058117,177.36510934688386,1.4385927144055397,3015,2476,802,1120,1622,1844,1990,2135,2278,2302,0.19091012,0.2735156771180787,-0.45828295,0.1392405,-0.37708566,0.16820513,KA,nonWater
-17.56352248529167,308.65825492509646,0.5638545665540388,-9.904018448385727,-27.4675409336774,174.07080454555904,98.49695751827645,1.7794827188026276,3786,2570,797,1180,1810,2222,2355,2620,2890,2986,0.28064454,0.3473338907827877,-0.5247684,0.1342121,-0.37066665,0.22978723,KA,nonWater
-14.034823701460084,198.85714603787588,0.5675808750400902,-7.989569265370928,-22.02439296683101,113.51819057554845,64.99282290430885,1.7670986306324326,2300,1782,841,887,1114,1631,1839,2005,1804,2157,0.21187067,0.7907403162961266,-0.44336367,0.1208577,-0.3353316,0.23646334,KA,nonWater
-14.618641841522594,214.13013581378408,0.5519611422444832,-8.026831490309432,-22.645473331832022,116.96357361025504,64.84691607160143,1.8394932687856629,2596,1933,583,913,1102,1404,1790,1989,2226,2207,0.2576943,0.6291279525355424,-0.47962382,0.076731645,-0.35839775,0.3377404,KA,nonWater
-25.857876918334888,675.8857756074492,0.5727183027487774,-14.665972525551094,-40.52384944388599,379.5845579602692,216.15311043411592,1.770099235464612,4666,3606,624,1160,1992,2388,2558,2748,2758,3042,0.21804757,0.1909081846276542,-0.6017851,0.25700432,-0.51321864,0.16126315,KA,nonWater
-23.279824523832104,556.9119309907793,0.6384516623153649,-14.467598812791326,-37.74742333662342,335.1505586639989,210.4314422074325,1.6254940705689414,4682,3538,849,1352,2016,2389,2618,2818,2974,3152,0.22046867,0.2751766530706038,-0.55187273,0.223093,-0.44703478,0.19198397,KA,nonWater
-14.974564123703724,226.1456543504984,0.4807339242524546,-7.131830160990503,-22.106394284694236,106.76787237082286,51.33075768261093,2.120467137092661,3684,2601,585,955,1504,2079,2423,2705,2618,2993,0.27855548,0.3838467369581697,-0.58827335,0.16915265,-0.46287963,0.27025715,KA,nonWater
-22.35337323990697,499.67329520258914,0.5082653806793521,-11.36144575924896,-33.71481899915593,253.96663760145023,129.08244974035614,1.9674761217523629,1854,1623,653,853,1146,1204,1326,1418,1456,1509,0.14414103,0.2255857953718527,-0.36978206,0.120241694,-0.31098545,0.11913913,KA,nonWater
-13.368900680854876,179.19934059088268,0.6897463146016964,-9.190717752172027,-22.5596184330269,122.76792267642436,86.64664900738059,1.4893174689934556,3130,2012,648,894,1240,1641,2051,2333,2471,2763,0.31679794,0.6091646872525732,-0.555666,0.117657565,-0.38472128,0.3317165,KA,nonWater
-20.49525898449081,425.920527241618,0.5701296856541598,-11.563271789977977,-32.0585307744688,237.54673728443373,134.09141352554627,1.7736385946049331,4037,3202,641,1030,1702,2145,2322,2451,2522,2731,0.21564266,0.2585935036266162,-0.5934478,0.23098034,-0.5132325,0.19412878,KA,nonWater
-16.236912806784982,263.96423639368254,0.4710636198971458,-7.649164045843682,-23.886076852628666,124.3616509523004,58.590828302127456,2.122864204138078,1642,1324,543,779,793,1138,1541,1662,1844,1758,0.24745035,1.0383323453862874,-0.35646427,-0.05794607,-0.2591536,0.39855897,KA,nonWater
-13.825622390389745,191.5324402006663,0.4729888363261496,-6.5279719245960734,-20.353594314985813,90.2843611463204,43.06542455368987,2.140315523179824,3030,2014,636,876,1122,1535,1861,2108,2230,2427,0.29079753,0.6606248509420463,-0.5514593,0.15209125,-0.39377162,0.3305489,KA,nonWater
-17.108867022184683,293.5119290153228,0.5873260916205589,-10.000035356205531,-27.108902378390223,170.73321483447197,100.82350789431716,1.728869193828359,3248,2322,684,1096,1648,1772,2240,2608,3096,2814,0.29973367,0.460852959898154,-0.49539596,0.023959646,-0.35868928,0.30522767,KA,nonWater
-17.08488143611037,292.29719566736566,0.617855049092198,-10.53224338253565,-27.61712481864602,179.776867273253,111.72462030587376,1.635648372504055,3544,2680,667,963,1402,1825,2000,2189,2261,2470,0.2288315,0.378647624085339,-0.57266474,0.22101636,-0.47131485,0.23450723,KA,nonWater
-15.080951342595688,227.85383185391743,0.6285113372362926,-9.463571321870155,-24.54452266446585,142.75364865901278,89.7871676092787,1.597506852527611,1783,1802,559,674,838,893,918,992,1016,1116,0.061232228,0.2402159244264507,-0.45136344,0.27402642,-0.4555735,0.09600863,KA,nonWater
-19.90041504777732,401.8748500120923,0.6339855191899069,-12.447190882575718,-32.34760593035304,247.88658389308375,156.85344819318615,1.6182671799528865,4478,3652,1260,1594,2082,2448,2755,2974,3152,3369,0.18515067,0.4317998385794996,-0.47496706,0.17378768,-0.3922989,0.20443256,KA,nonWater
-21.670620516406228,475.6958430974979,0.6347673711618741,-13.61432069903854,-35.28494121544477,295.6588043067817,187.01885444968215,1.602649365906882,5131,4418,1034,1552,2296,2667,2715,2984,3086,3172,0.15838444,0.2168423364075538,-0.53553796,0.24887429,-0.480067,0.14678559,KA,nonWater
-14.48130666131754,209.832661400855,0.5221638014884061,-7.553095429542536,-22.03440209086008,109.32029612939763,57.07665783899377,1.9192134076803744,3279,2530,1206,1614,2272,1980,2558,2782,3444,3083,0.23732401,0.3647908366533864,-0.34028202,-0.024542615,-0.22104247,0.20503849,KA,nonWater
-23.440169515974368,549.441546937614,0.6159258946320466,-14.43740737945334,-37.87757689542771,338.4152763455656,208.43873184029377,1.6235719405780118,2870,2062,906,1208,1822,2086,2188,2359,2492,2578,0.24235404,0.2526395173453997,-0.40755272,0.07049608,-0.26116207,0.15530829,KA,nonWater
-14.73701146729069,217.54447018304683,0.5195381668009773,-7.575475125640574,-22.312486592931265,110.63629697647951,60.14740673937344,2.061999994467561,3480,2971,620,842,1344,1650,1905,2062,2014,2328,0.18061674,0.308528274083625,-0.61036557,0.26683655,-0.558353,0.19952352,KA,nonWater
-13.990114130541894,196.9419696738982,0.6080084622032436,-8.494675458784279,-22.48478958932617,119.44273478943494,73.15679096357563,1.6613904163910898,2768,1852,564,737,903,1190,1635,1864,1850,2133,0.28153184,0.7790391576176374,-0.57945794,0.19878735,-0.4306682,0.3439884,KA,nonWater
-13.67027566865352,187.15030374766596,0.6465385869527696,-8.845425083765258,-22.51570075241878,121.1937864530874,78.82452776754138,1.5533556164524098,2263,1694,1184,1474,1644,1437,2094,2365,2338,2477,0.18445103,0.5221185675594343,-0.21113193,-0.016300805,-0.06944445,0.17428428,KA,nonWater
-16.827863294953183,284.6145798946555,0.4758445070722396,-7.984041312930072,-24.811904607883257,134.62978073923244,64.18020747318918,2.117573420707562,2279,1287,468,844,834,1249,3120,3713,3552,3917,0.46470737,1.3463443629879135,-0.45949408,-0.2183159,-0.20788363,0.61969906,KA,nonWater
-14.942697448222564,227.01724990102105,0.5050626606401714,-7.350302823677497,-22.293000271900056,108.60914984258852,54.59279579466921,2.077027559956671,1685,890,297,483,423,752,1381,1637,1702,1856,0.42310923,1.5880307921529675,-0.55442804,-0.005019191,-0.29643118,0.60188234,KA,nonWater
-14.098634933807205,199.55193165570824,0.4846748719642206,-6.806202014977509,-20.90483694878472,95.97450262419734,47.1113356278795,2.106283017025992,1440,802,179,387,286,806,1842,2288,2232,2479,0.51080024,1.8664876270861308,-0.5763547,-0.21568628,-0.3490328,0.7728356,KA,nonWater
-13.68550989513793,189.8285041988833,0.5617879975063619,-7.642166448273762,-21.327676343411696,105.34566838073964,59.79028164921393,1.81744509256284,3264,2359,610,857,1016,1385,1792,2073,2382,2426,0.27420446,0.8747438524590163,-0.58408153,0.15621679,-0.4670398,0.40200117,KA,nonWater
-13.734514104142368,189.10118628772705,0.5126896081414006,-7.046620517016515,-20.781134621158884,97.08308813761178,49.951072766504765,1.954542205858412,1481,740,286,448,321,604,1601,1783,2106,2041,0.5024084,2.363612288135593,-0.5355106,-0.1742403,-0.24579124,0.7354759,KA,nonWater
-15.910888036988112,254.6737404648371,0.1709699571104145,-2.734676590374397,-18.64556462736252,44.058388003235386,11.003789981712568,-9.806896494143018,2857,2698,1066,1374,1756,1903,2180,2329,2442,2476,0.13093586,0.3441011235955056,-0.35050815,0.078316666,-0.32514736,0.16341116,KA,nonWater
-17.971576371379236,322.99962551352337,0.5452113317047882,-9.804090331182833,-27.775666702562063,176.31092402148374,96.72957361719132,1.843550579953111,2612,1810,661,811,1012,1523,1978,2285,2246,2519,0.29910415,0.9177450542912392,-0.52614665,0.075339645,-0.38115224,0.37875998,KA,nonWater
-18.724365344495595,350.60185755414767,0.5845844548952406,-10.945972908171292,-29.670338252666888,204.95639578355025,119.81432290641987,1.710616817854322,2404,2030,933,1150,1510,1787,1880,2034,1966,2142,0.1576159,0.2829135128427845,-0.35284185,0.10022883,-0.27672955,0.13118526,KA,nonWater
-20.73322508625333,439.8929391195246,0.640320050918896,-13.038064243607693,-33.77128932986102,272.07236866413893,174.56827830112988,1.6213721125682954,4068,3363,866,1296,1850,2187,2513,2754,2958,2999,0.2025674,0.3662083553675304,-0.5167785,0.15798463,-0.44365743,0.23044924,KA,nonWater
-12.346398486167342,152.9928315493879,0.1698517036897765,-2.173769310508108,-14.520167796675452,27.88013844993344,11.550918467551332,-1.9862334048636825,2792,2739,1480,1744,2070,2125,2179,2139,2274,2260,0.061053514,0.1418636995827538,-0.23104057,0.10225029,-0.22194959,0.046961326,KA,nonWater
-15.970964479456873,256.13272154303,0.554250133870131,-8.812145231715473,-24.78310971117234,140.68670823716863,79.27569890633137,1.8524916218208287,3648,2569,593,700,1032,1309,1598,1859,2124,2301,0.2768499,0.7055175087220571,-0.6780129,0.26403326,-0.5717345,0.34600762,KA,nonWater
-21.55790166515866,466.0811440673227,0.6168030746867323,-13.321913334243623,-34.879814999402285,288.5553021191218,178.86142305170802,1.623245380579728,4105,3260,842,1198,1860,2220,2400,2628,2814,2919,0.21631362,0.3113577023498695,-0.5481803,0.18658766,-0.46253926,0.20410784,KA,nonWater
-18.71357912857603,369.6708340529634,0.6092291156227788,-10.991981704585337,-29.705560833161368,212.3061265874065,128.53450705808308,1.7654103241406656,301,192,146,221,149,296,394,469,230,415,0.125,6.75,-0.1532567,0.13370998,0.070217915,0.21372032,KA,nonWater
-14.256704016115297,203.80388169583503,0.4476220033032423,-6.374686835322065,-20.631390851437363,91.05443021669934,41.169006037067504,2.2623241766244213,1697,1123,353,557,645,922,1460,1705,1754,1828,0.34515688,0.9311502938706968,-0.5057675,-0.016516952,-0.33690476,0.46227595,KA,nonWater
-16.66472599278116,278.99159871734065,0.5359825363366817,-8.861980457614505,-25.526706450395668,147.17603894892625,78.77941030237444,1.8931919592689708,2374,1427,522,842,816,1264,2062,2319,2576,2524,0.37138107,1.2366498032602586,-0.47636816,-0.04080808,-0.25782284,0.5188679,KA,nonWater
-19.659215026529463,388.6986939333704,0.5689935659582954,-11.164313543088014,-30.82352856961748,220.32350515114592,125.68159992915388,1.7696052566653824,3615,2754,609,1006,1350,1892,2242,2536,2386,2779,0.22958714,0.4375369541346397,-0.5645964,0.2047992,-0.4648936,0.27730194,KA,nonWater
-15.88418216443542,253.2233630082262,0.5447241222036702,-8.666826441256509,-24.55100860569193,138.3646870301067,75.79910141332869,1.8410812546741988,1146,509,178,294,189,497,1726,2167,2107,2354,0.60404336,2.51442055584688,-0.59166664,-0.2954196,-0.26774594,0.83536583,KA,nonWater
-13.971823226824442,198.30250716993032,0.5679897308331362,-7.835131539485932,-21.80695476631036,109.68009908449788,62.41858988855291,1.808424709244825,2021,1309,268,515,356,894,2366,2892,2806,3018,0.45151106,2.088305489260143,-0.5938486,-0.16262689,-0.43530703,0.77482605,KA,nonWater
-24.025834954822024,580.0187371862411,0.6393630412813008,-15.404973425482352,-39.43080838030438,372.9808780302397,241.7248834054824,1.5748439958275378,4246,3780,1048,1398,1978,2412,2638,2830,2774,3045,0.15100837,0.2933805100987763,-0.50460666,0.2096866,-0.46002316,0.16750842,KA,nonWater
-18.31542856667365,336.2929832782618,0.5681139746098598,-10.352097864477296,-28.667526431150943,189.0956513885126,107.71295630807391,1.7830567122382253,2345,1850,436,694,952,1204,1621,1799,1943,1870,0.25526932,0.5648654810761513,-0.5432708,0.09375,-0.4544025,0.34231433,KA,nonWater
-20.31223161456191,417.537642448376,0.5545556062592891,-11.243290639915497,-31.555522254477403,231.3106315427652,132.782454025705,1.863701083667852,4150,3145,644,1108,1990,2231,2290,2430,2636,2676,0.2294592,0.1656920077972709,-0.578547,0.2231064,-0.47895604,0.13964549,KA,nonWater
-20.938548210790053,438.4228011755793,0.4829092778301748,-10.111419195284924,-31.049967406074977,211.71843829998133,102.2407981427764,2.070782330986134,2094,1915,906,1178,1492,1597,1632,1771,1902,1867,0.12738045,0.2524630541871921,-0.2799511,0.04804805,-0.23827998,0.12080141,KA,nonWater
-14.905394963512592,222.18469050264324,0.7133264994466159,-10.640366876771248,-25.54576184028384,158.72733253081248,114.405358233098,1.4145423391012963,1646,1050,440,642,688,889,1789,2111,2004,2239,0.36652938,1.1613130956583126,-0.43881118,-0.09808219,-0.24113475,0.48885587,KA,nonWater
-15.341377251038985,236.81225016534148,0.6143585296063125,-9.24255896219256,-24.583936213231556,140.14601479262217,87.37146687017979,1.712004218246928,3894,2777,744,1132,1607,2246,2578,2814,2754,3174,0.2594487,0.4206395775267713,-0.54954237,0.17148015,-0.42082375,0.26301306,KA,nonWater
-14.111074030001769,205.4452451294985,0.7192364823189719,-9.862367953103822,-23.97344198310559,138.65834448613575,97.52295627958996,1.4400088294562383,2328,2266,618,770,998,1140,1255,1312,1381,1475,0.09977762,0.350091407678245,-0.5029051,0.2553249,-0.49275362,0.16099201,KA,nonWater
-15.38915613319764,237.35781455017556,0.5166389432575178,-7.926059774927969,-23.3152159081256,121.902238078695,62.94356810154981,1.946581713560288,3919,3032,782,1178,1804,2127,2318,2533,2770,2765,0.22745205,0.3124191461836998,-0.5377673,0.17177455,-0.44038004,0.21119371,KA,nonWater
-18.064408188180927,327.08510510994086,0.4593195382241091,-8.270349317302186,-26.33475750548312,149.26753933238166,68.65835324964523,2.193319834920733,3056,2539,927,1238,1580,1856,2012,2166,2267,2311,0.1698901,0.3581482639974976,-0.42338145,0.14822468,-0.34445328,0.17858072,KA,nonWater
-15.216506916006722,232.2192613509752,0.5647537001798074,-8.540986260798316,-23.75749317680504,129.58365741041573,73.17637100238987,1.7920964438081848,1609,796,241,443,334,685,1706,1978,2279,2277,0.5166764,1.963456491015546,-0.5682261,-0.1723251,-0.2849072,0.74435514,KA,nonWater
-13.480666527636398,182.2925419430213,0.5858419478298741,-7.890392730374864,-21.371059258011265,106.60915972166856,62.70409665368528,1.716842020252691,2933,2068,566,726,905,1157,1466,1679,1882,2013,0.26560652,0.7961212516297262,-0.6031703,0.21827622,-0.48031497,0.35055616,KA,nonWater
-16.644901115918028,277.4639483163147,0.6897758165945927,-11.471581176598947,-28.116482292516967,191.06840186444072,132.24734031126167,1.4566651212846486,3171,2144,604,835,1236,1544,1788,2020,2072,2349,0.2753588,0.421455938697318,-0.5831253,0.20961282,-0.4394092,0.25272068,KA,nonWater
-19.133068776036623,366.4483280007577,0.5797874941045503,-11.096964211336031,-30.23003298737266,212.6094905197457,123.36826991609426,1.7249732605285,3506,3002,1013,1332,1876,2076,2188,2338,2402,2485,0.15368092,0.2169430009073661,-0.44935924,0.18686527,-0.38532534,0.12295465,KA,nonWater
-23.81372716751172,583.7880662226717,0.6194241952641362,-14.479228764182594,-38.29295593169432,348.0974520523941,212.93963184022823,1.653817870869896,5088,3957,985,1512,2346,2748,2915,3150,3304,3474,0.21087945,0.2396557762545654,-0.5418182,0.21258341,-0.44706526,0.16955753,KA,nonWater
-14.721096037683042,216.96770551523687,0.5576363665377767,-8.201647416668136,-22.92274345435117,120.77839319816644,67.75780476564796,1.8076755582721784,3139,2262,810,1100,1630,1773,1930,2129,2314,2419,0.2372093,0.2840531561461794,-0.48100966,0.15129286,-0.3456276,0.173428,KA,nonWater
-13.83767481854028,193.4991320809592,0.6152461495146383,-8.456996119418553,-22.29467093795883,117.412290613236,73.85390707023745,1.678131211071476,2670,2313,652,886,932,1346,1834,1973,1932,2208,0.17984873,0.9487666034155596,-0.5016873,0.16036506,-0.4460769,0.349162,KA,nonWater
-15.380163238588242,237.1429728265969,0.5637576955926114,-8.649796709086214,-24.029959947674453,133.07207415906072,74.83941398123167,1.778099371880601,3477,2319,685,1001,1606,2056,2271,2544,2837,2928,0.31077433,0.4194779527022422,-0.5529254,0.10136205,-0.39698794,0.27706504,KA,nonWater
-19.64233449097339,390.9143410647358,0.6187882960127944,-12.036862813026229,-31.679197303999626,237.05818537996956,147.1566939137059,1.6538003990626209,5255,4312,1026,1586,2568,2854,3050,3304,3462,3561,0.19288403,0.1999821045096635,-0.5363251,0.20569003,-0.46219057,0.1482587,KA,nonWater
-16.112642636210456,261.60759298344345,0.5861833878699312,-9.418259294219894,-25.530901930430357,152.42355898322606,91.85443082623148,1.7575802125517066,2019,2051,546,664,835,977,1019,1107,1159,1254,0.078567795,0.3903614457831325,-0.5050317,0.27061045,-0.51086557,0.16248746,KA,nonWater
-17.131204433880136,294.5317820280657,0.527017065611367,-9.02932690065731,-26.16053133453744,155.2282795688555,82.21643840356134,1.906449856836726,2713,2348,783,953,1116,1398,1699,1861,1820,2070,0.1572632,0.6655322367177161,-0.48008728,0.19699977,-0.42259923,0.23978202,KA,nonWater
-17.683574204156145,314.32723523907725,0.573448039042034,-10.0725800117886,-27.756154215944736,177.8547821775028,102.53041359016736,1.7771550179459747,3569,2695,780,1092,1612,1942,2223,2491,2498,2700,0.23137812,0.3504192374624268,-0.531431,0.17652877,-0.4232902,0.21557178,KA,nonWater
-21.490348153885144,468.84501783812993,0.6239359268850639,-13.323120178172417,-34.81346833205756,289.0892416722118,181.59455157933468,1.6355551505248695,4549,3720,1236,1534,1908,2237,2363,2595,2736,2942,0.16197464,0.4211597151576806,-0.4956436,0.24886754,-0.41606396,0.17829457,KA,nonWater
-14.1433995191682,200.41130472861025,0.718273592939358,-10.164027083864374,-24.30742660303257,144.0796223092119,103.95629594048812,1.3972802963823272,3238,2139,645,976,1396,1793,2120,2334,2508,2607,0.29691908,0.4596940884663084,-0.53678215,0.1270449,-0.37335473,0.28483605,KA,nonWater
-15.533445847460072,244.3751883891725,0.4603537083710226,-7.082729061369669,-22.61617490882974,110.17817619556465,51.75938822128926,2.2649105901226885,3510,3197,1246,1642,1912,2449,2560,2679,2288,2730,0.090157,0.2128623188405797,-0.36257765,0.21076234,-0.3213474,0.08952381,KA,nonWater
-19.36333587812233,382.2342566728207,0.6622510947391997,-12.852871891479628,-32.21620776960196,254.28177864724577,173.59052000674072,1.550368636325975,2185,1540,902,1234,1296,1738,1871,2092,2290,2069,0.23465306,0.7525741974560872,-0.2781515,-0.023463687,-0.11031002,0.27718908,KA,nonWater
-21.02097377765539,441.88133856087546,0.4823048469188815,-10.138517539917904,-31.15949131757329,213.1215113509135,102.789537907223,2.07337746321299,2432,2003,985,1296,1606,1817,1823,1968,1894,1969,0.13468853,0.1737661397369373,-0.30472103,0.12436431,-0.21430737,0.08228572,KA,nonWater
-16.767104724652118,283.4424227588147,0.5855785035975214,-9.707086824013814,-26.47419154866594,162.19463395991585,95.04891663113132,1.7462154783943709,2256,2201,598,754,1042,1147,1231,1310,1395,1438,0.105358765,0.2790072715776162,-0.49900332,0.2358258,-0.4896785,0.14485022,KA,nonWater
-17.345494597351287,301.7199666176404,0.6232403195000177,-10.785282676789691,-28.13077727414098,187.14262010429627,117.0889900799523,1.618404500539386,2934,2202,741,983,1332,1582,1916,2146,2186,2328,0.23299217,0.4619712214648924,-0.49808526,0.14609376,-0.38273156,0.24275157,KA,nonWater
-16.955247639621888,287.9010629361863,0.6000189737279915,-10.157673733266456,-27.112921372888348,172.21043132243514,103.17890257761674,1.6693646113755902,2141,1747,615,879,1150,1334,1414,1606,1832,1610,0.20412184,0.4137847348622739,-0.4178808,0.07777498,-0.33054075,0.22870557,KA,nonWater
-15.042967598848165,233.68856785204355,0.5646061133332133,-8.336999326115038,-23.379966924963203,126.34291208741163,71.08216142419026,1.830472555555707,3161,2290,540,791,820,1379,1944,2215,2414,2563,0.28812385,1.213089802130898,-0.59969634,0.13399103,-0.48653033,0.49288806,KA,nonWater
-13.536561918847056,185.25637678219888,0.4856730080637206,-6.50731476238356,-20.043876681230618,88.25241096893741,44.0883788319608,2.1794215267940182,2199,1067,626,905,631,1140,3534,4496,4416,4810,0.54070103,2.6974059293044474,-0.41688144,-0.33514738,-0.0821501,0.74995047,KA,nonWater
-14.63350899730573,216.43032191483516,0.6373452665040917,-9.295271287558949,-23.928780284864672,136.97824210472533,87.33803579293917,1.5796761049394827,3404,2449,572,791,982,1301,1713,1949,2381,2332,0.28199446,0.8778865461847389,-0.6228844,0.17683664,-0.5117284,0.41599762,KA,nonWater
