system:index,VH,VH_Times_VH,VH_VV_Ratio,VV,VV_Plus_VH,VV_Times_VH,VV_Times_VV,VV_VH_Ratio,angle,.geo
0000000000000000000d_0,-19.075197583793436,363.9485528589013,0.6064868622664902,-11.586062917386512,-30.661260501179946,221.38643870907953,135.92791263053073,1.6645299057454097,36.804756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.37436121396387,16.325038742539856]}"
0000000000000000000e_0,-12.708249254334334,162.7293938817045,0.5784172263939744,-7.263652334526906,-19.971901588861243,92.10628433030186,53.3923161832834,1.7746627114500082,37.634846,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52555225056304,12.544119543209204]}"
0000000000000000000f_0,-19.69286964157761,388.99364696036974,0.5195536236422592,-10.194666674334234,-29.887536315911838,200.64053325360706,103.96961074425883,1.9335690279991036,44.154316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48144039583092,12.363917497214828]}"
00000000000000000011_0,-13.427919652509656,180.69923742639864,0.49761875292847957,-6.714178602987909,-20.142098255497565,90.78392529722656,46.08598360437418,2.0313598399482546,36.804756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.38532066043012,16.304197827948286]}"
00000000000000000012_0,-16.29752321996696,266.69863211308757,0.6747018766794317,-11.0250833703426,-27.32260659030956,180.91371173735143,126.56037584283963,1.5326681502330903,37.10435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.54961795161373,13.748311181571422]}"
00000000000000000013_0,-20.54244356982581,421.9919878194778,0.4699702665078668,-9.65433767923385,-30.19678124905966,198.32368697970443,93.20623602467444,2.1277941845779753,37.59532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.41379725493671,17.35307075368624]}"
00000000000000000014_0,-29.403347609707946,907.9753502436267,0.41135820338261453,-11.72306515705034,-41.126412766758285,350.0932061519613,138.4581582766596,2.4866900922928905,39.911102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18311446425668,12.19557321297083]}"
00000000000000000015_0,-16.452804796955654,270.69478568674214,0.5701476752728513,-9.380528472841078,-25.833333269796732,154.33600494411616,88.07234851700491,1.755488314182565,44.134354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.17609845647684,16.25739560164566]}"
00000000000000000017_0,-13.921028687676477,194.32910358964193,0.47461268635798687,-6.623429389409763,-20.544458077086237,92.70848501725769,46.1806135404495,2.2229016983970364,36.85147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75929388749093,12.961117498097487]}"
00000000000000000018_0,-26.138278759127502,683.209616489856,0.46729734544489226,-12.214348278638894,-38.352627037766396,319.26204016813256,149.19030387188891,2.1399650773704826,36.00328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.6616424418253,16.866453364278694]}"
